split,cell,stat,n,actual_mean,MAE,bias,sd,MAE_pct_of_actual
overall,all,PTS,451,10.353078447029773,2.782454428112282,0.4534132736383406,3.506703339719773,26.87562392527364
overall,all,REB,451,3.940039472351001,0.9404015123551465,-0.0168846246373432,1.2517865493186608,23.867819572731687
overall,all,AST,451,2.3894213454016944,0.717467693141635,0.08070911546135957,0.9956705240838979,30.02683869558464
overall,all,BLK,451,0.42665225502143667,0.16691104551272834,-0.006228580663133958,0.2339485256670918,39.121097696844956
overall,all,STL,451,0.744419148118496,0.22741682641553584,0.023421457353272553,0.29005664080861987,30.54956700003314
cohort_simple,vet,PTS,351,11.244849032365146,2.7465572596698493,0.26972828535469767,3.511658828392059,24.425025642982437
cohort_simple,vet,REB,351,4.146200301952172,0.8995313233601594,-0.1257270708763725,1.2011883298774675,21.69531758841051
cohort_simple,vet,AST,351,2.551914125401708,0.7112821503221457,-0.005991470346856674,0.992332347288334,27.87249552177543
cohort_simple,vet,BLK,351,0.4385435214014573,0.17565841554456124,-0.02169790331107944,0.24372912446161746,40.05495622947709
cohort_simple,vet,STL,351,0.7841021258429134,0.22452860676810618,0.003523850499022406,0.28880794541824106,28.63512281984147
cohort_simple,rookie,PTS,100,7.222963692502614,2.9084534893452214,1.0981475825139275,3.4290985975808117,40.26676047623188
cohort_simple,rookie,REB,100,3.216414960450892,1.083855875727551,0.36515236166164955,1.3535744039232742,33.69763817960886
cohort_simple,rookie,AST,100,1.8190716876016464,0.7391789484380424,0.3850281716481986,0.9511248692934543,40.634954272341645
cohort_simple,rookie,BLK,100,0.38491391002756414,0.13620777670099493,0.048068741831154685,0.18692585782290597,35.38655609802227
cohort_simple,rookie,STL,100,0.6051318963057919,0.23755447737801397,0.09326205741169055,0.2849692062929755,39.25664451473077
position,Center,PTS,65,9.70356329529475,2.5605643808855523,0.9621112077194672,3.0722503814777333,26.38787734941831
position,Center,REB,65,6.425838234776856,1.5315042059963908,0.126674282572592,1.9367368741214652,23.83353190729013
position,Center,AST,65,1.793737226987722,0.4920856382269061,0.0924199314076396,0.6933170538868223,27.433541035064575
position,Center,BLK,65,0.8671261828536826,0.26997374091893755,0.010093641049702983,0.36454367869948406,31.134308507495785
position,Center,STL,65,0.5847629548094398,0.15196936613456608,0.04340800904517583,0.19411533165825287,25.98819998508442
position,Forward,PTS,170,10.35263799564944,2.5613025212492677,0.3719057260302858,3.166990140721496,24.74057841417445
position,Forward,REB,170,4.270184684862035,0.9674293012382172,-0.09577439988551638,1.2477902149900897,22.655444029570674
position,Forward,AST,170,1.9328855689190303,0.5691677645341268,-0.004932229654543582,0.7799506283497785,29.446531842670588
position,Forward,BLK,170,0.4662966161493391,0.18681490981775128,-0.011228004786205137,0.24876372772190855,40.06353538665199
position,Forward,STL,170,0.7061369748320108,0.2158977664132014,0.03282628915063442,0.26682745050952456,30.574488252022668
position,Guard,PTS,216,10.548881047017888,3.0232816375402907,0.3644823355739707,3.866889178735963,28.659737692226194
position,Guard,REB,216,2.9321616682558327,0.7412515160736516,0.0020039532494329545,0.9632096542746499,25.28003568488697
position,Guard,AST,216,2.927988705119107,0.9020085331079952,0.14458793783726384,1.2015573193779867,30.80642119728746
position,Guard,BLK,216,0.262900649924958,0.12023173008098065,-0.0072056283965242435,0.16202499413904928,45.732762591229594
position,Guard,STL,216,0.8225933241545662,0.25918685011303527,0.01000503482769278,0.32945381170299337,31.508503959647232
career_stage,early,PTS,200,8.12813462876441,3.0236691629631083,1.0367917703955458,3.6440404401146456,37.20003790614807
career_stage,early,REB,200,3.396292242008933,1.0522502533918057,0.26253800283370426,1.3216959564731374,30.982323616809595
career_stage,early,AST,200,1.8765955698450645,0.7036563221923524,0.2984618200540297,0.9282688466803641,37.49642882565516
career_stage,early,BLK,200,0.39725328402222176,0.1555992150417934,0.04255415660918621,0.21742427696637545,39.16876745897194
career_stage,early,STL,200,0.6605815664035345,0.2402812645268871,0.07157514169012857,0.29446347899024705,36.374200666099824
career_stage,mid,PTS,180,12.284971137869064,2.723455369619006,0.09924613891025509,3.5002720749428295,22.1690009610508
career_stage,mid,REB,180,4.351460874664834,0.7915079173925809,-0.13839646075831355,1.0729865896341233,18.189475677028714
career_stage,mid,AST,180,2.7945669143051552,0.7475014103442539,-0.039692796096708845,1.0239957408474114,26.748381171975392
career_stage,mid,BLK,180,0.4552349164634546,0.17942559980271547,-0.025030077047448935,0.24817269608001977,39.41384839207944
career_stage,mid,STL,180,0.8370157733404429,0.22900017458245267,-0.0056359760564908875,0.2965269960250307,27.359122955178826
career_stage,late,PTS,71,11.72276970480442,2.252551379642203,-0.29201792495864065,2.8483604783495213,19.21518068139669
career_stage,late,REB,71,4.428681636462605,1.0028113558189486,-0.4959324414322,1.292051067650438,22.64356388958997
career_stage,late,AST,71,2.8068713835524406,0.6802311451611434,-0.22743450197641124,0.9864016153324789,24.23449642712974
career_stage,late,BLK,71,0.43700317249016546,0.16704831765342293,-0.09597897651225137,0.20996332613120156,38.22588213754495
career_stage,late,STL,71,0.7458293425275372,0.1871648504674333,-0.03855599128917516,0.23836124326374725,25.094862831911563
cohort_x_position,vet_Center,PTS,48,10.394635665866227,2.2592932472822533,0.7409134519212249,2.780366877177449,21.735184569299452
cohort_x_position,vet_Center,REB,48,6.702771533252957,1.3836757480299726,-0.20078164626335496,1.8147232539478813,20.643337478615415
cohort_x_position,vet_Center,AST,48,1.9748248762285048,0.47379140361648825,0.05112583017346825,0.6651425619622918,23.991565496244355
cohort_x_position,vet_Center,BLK,48,0.8512946443150898,0.27756267428730935,-0.05670674150576727,0.3700314485384992,32.60477158418197
cohort_x_position,vet_Center,STL,48,0.6328790374964414,0.1409977998015215,0.038405949147776654,0.18479348643399449,22.278791277284853
cohort_x_position,vet_Forward,PTS,138,11.215714932617098,2.537992371310756,0.41843224095438286,3.1696601736531416,22.62889514006697
cohort_x_position,vet_Forward,REB,138,4.550988965431408,0.9912427142529139,-0.08890753892950723,1.2724380269212268,21.78081998840772
cohort_x_position,vet_Forward,AST,138,2.095211769581752,0.5850710417945247,-0.017726465585897612,0.8018061072209157,27.924196030614944
cohort_x_position,vet_Forward,BLK,138,0.47776441370018224,0.19922028778281167,-0.017381636962557852,0.2633649021931646,41.69843589644812
cohort_x_position,vet_Forward,STL,138,0.7381909686286683,0.20872542629743526,0.02550601974088631,0.25914800319006576,28.275261438809373
cohort_x_position,vet_Guard,PTS,165,11.51655053149956,3.0627428789920277,0.00828565585197111,3.9442691041588125,26.59427291718079
cohort_x_position,vet_Guard,REB,165,3.0639199706638545,0.6819852365277284,-0.1346875302102649,0.8832109690201912,22.258585180342152
cohort_x_position,vet_Guard,AST,165,3.101763877301513,0.8859287492232566,-0.012792689025571501,1.1985767898036286,28.562095126144836
cohort_x_position,vet_Guard,BLK,165,0.28566753935855804,0.12630724712922506,-0.015123482236842843,0.17081167474686987,44.21477057310646
cohort_x_position,vet_Guard,STL,165,0.8664927193956191,0.2620456833702192,-0.0250087561101741,0.33247505824437623,30.24211023411677
cohort_x_position,rookie_Center,PTS,17,7.752300131328231,3.411212287530159,1.5866695770321513,3.8059800496841825,44.00258284305749
cohort_x_position,rookie_Center,REB,17,5.643908921432575,1.9489022049603946,1.051255728697619,2.0248462926677364,34.53107114396366
cohort_x_position,rookie_Center,AST,17,1.2824309232490398,0.5437399477151449,0.20901504077471167,0.7769179498082369,42.399160676629606
cohort_x_position,rookie_Center,BLK,17,0.9118269975508863,0.24854616434941726,0.19870648591220724,0.2795910525204368,27.258039629995345
cohort_x_position,rookie_Center,STL,17,0.4489057801637881,0.18294790636904484,0.057531472284891194,0.2238848779088384,40.75418817336109
cohort_x_position,rookie_Forward,PTS,32,6.630618704976411,2.6618275428591,0.17126013042011687,3.198031299085042,40.1444821561123
cohort_x_position,rookie_Forward,REB,32,3.059216224906613,0.864733957612338,-0.12538773775830558,1.1539360766447753,28.266519723977186
cohort_x_position,rookie_Forward,AST,32,1.2328538285610433,0.5005848813486609,0.05024291279942075,0.6865113166783315,40.603749589108325
cohort_x_position,rookie_Forward,BLK,32,0.4168417392113283,0.13331671734342845,0.015309533974316007,0.17302480524113825,31.98257391298337
cohort_x_position,rookie_Forward,STL,32,0.5679041265839251,0.246828483162443,0.0643949509801731,0.300128222404628,43.46305504895228
cohort_x_position,rookie_Guard,PTS,51,7.418185656047774,2.895612915196437,1.516883358203969,3.3905882646689984,39.033977436730105
cohort_x_position,rookie_Guard,REB,51,2.5058848075239983,0.9329953616634027,0.44424110561904356,1.0815160089433657,37.232172798288836
cohort_x_position,rookie_Guard,AST,51,2.365774912764266,0.954031363323326,0.6537605541582018,1.0723340708663698,40.32637924157365
cohort_x_position,rookie_Guard,BLK,51,0.1892430664633106,0.10057564551313122,0.018410957557447684,0.1277046017586002,53.146277637934105
cohort_x_position,rookie_Guard,STL,51,0.6805658689629251,0.2499376836927346,0.12328494668549737,0.29498547384528295,36.72498065082226
career_x_position,early_Center,PTS,23,8.121575998489961,3.1372209843318792,1.4857085487153388,3.630071697866694,38.62822911360037
career_x_position,early_Center,REB,23,5.6061840538196845,1.7010571839266504,0.6629689010171742,1.9454345146020293,30.342514045140245
career_x_position,early_Center,AST,23,1.2087791710143008,0.5407556308682543,0.029540581066658612,0.7816638435368365,44.73568405505365
career_x_position,early_Center,BLK,23,0.8881587830889162,0.24558324029876583,0.14841150862661792,0.2876082454643663,27.650826065656297
career_x_position,early_Center,STL,23,0.46711482179937963,0.17458166980917425,0.06210848704644379,0.21219288636781586,37.37446590469249
career_x_position,early_Forward,PTS,76,8.039896448188331,2.776093309578772,0.726400419227,3.3095704434401028,34.52896846954195
career_x_position,early_Forward,REB,76,3.659237623300438,1.0165718979614418,0.15854434471563494,1.3312679233398301,27.780975236162657
career_x_position,early_Forward,AST,76,1.4130279571017346,0.49345312323254925,0.12193837238167657,0.6345515587320755,34.92168153874834
career_x_position,early_Forward,BLK,76,0.46198237640541795,0.17806918432752958,0.055520385057765055,0.23984955721045031,38.544583824397435
career_x_position,early_Forward,STL,76,0.6206699654294598,0.22613606064994066,0.06840277127719674,0.2715310524950223,36.43418777215528
career_x_position,early_Guard,PTS,101,8.196025225002966,3.1841055289604125,1.1681250059148947,3.895420872904688,38.849386642282575
career_x_position,early_Guard,REB,101,2.695189661317826,0.9313492198314712,0.24960342222730283,1.1265793478035147,34.55598072367507
