rep,k,silhouette_null,cohort,stat
0,2,0.2263329193787432,soph_Forward,PTS
0,4,0.18400643918460932,soph_Forward,PTS
0,6,0.11412207487218501,soph_Forward,PTS
0,8,0.09301059762988516,soph_Forward,PTS
0,10,0.08012154304270058,soph_Forward,PTS
0,16,0.061256338685923103,soph_Forward,PTS
0,32,0.06954047730354597,soph_Forward,PTS
1,2,0.22409920481525122,soph_Forward,PTS
1,4,0.1667160008967662,soph_Forward,PTS
1,6,0.11035964193219808,soph_Forward,PTS
1,8,0.0727916246886247,soph_Forward,PTS
1,10,0.09906014300012368,soph_Forward,PTS
1,16,0.10262919427868046,soph_Forward,PTS
1,32,0.07610813843629738,soph_Forward,PTS
2,2,0.36663355944877785,soph_Forward,PTS
2,4,0.1998042290848427,soph_Forward,PTS
2,6,0.09283948917351366,soph_Forward,PTS
2,8,0.09266778757123505,soph_Forward,PTS
2,10,0.08219841487247605,soph_Forward,PTS
2,16,0.06690574288658263,soph_Forward,PTS
2,32,0.059545612021756296,soph_Forward,PTS
3,2,0.15482962681314014,soph_Forward,PTS
3,4,0.17013773207318553,soph_Forward,PTS
3,6,0.11619886886077099,soph_Forward,PTS
3,8,0.08891488612699527,soph_Forward,PTS
3,10,0.10476584048465361,soph_Forward,PTS
3,16,0.0811911377813976,soph_Forward,PTS
3,32,0.07242573492906502,soph_Forward,PTS
4,2,0.22358841356089362,soph_Forward,PTS
4,4,0.10726017060672705,soph_Forward,PTS
4,6,0.0874075096686405,soph_Forward,PTS
4,8,0.06617105515341655,soph_Forward,PTS
4,10,0.09253478682365056,soph_Forward,PTS
4,16,0.0945124808384132,soph_Forward,PTS
4,32,0.060885513619748,soph_Forward,PTS
5,2,0.30979410005847074,soph_Forward,PTS
5,4,0.21939931725371387,soph_Forward,PTS
5,6,0.11619524055680841,soph_Forward,PTS
5,8,0.0769428361436519,soph_Forward,PTS
5,10,0.0793643792416824,soph_Forward,PTS
5,16,0.09235240795541151,soph_Forward,PTS
5,32,0.07246517895735304,soph_Forward,PTS
6,2,0.2623477710669666,soph_Forward,PTS
6,4,0.17863991157127992,soph_Forward,PTS
6,6,0.10876943379751673,soph_Forward,PTS
6,8,0.11336049662977314,soph_Forward,PTS
6,10,0.07276272382311962,soph_Forward,PTS
6,16,0.09966520405147009,soph_Forward,PTS
6,32,0.07456083298243907,soph_Forward,PTS
7,2,0.2911412513411439,soph_Forward,PTS
7,4,0.1215659884427011,soph_Forward,PTS
7,6,0.09998615357739624,soph_Forward,PTS
7,8,0.07093334334429895,soph_Forward,PTS
7,10,0.0746331037699803,soph_Forward,PTS
7,16,0.09874346487315722,soph_Forward,PTS
7,32,0.08433404629409473,soph_Forward,PTS
8,2,0.26156176777302803,soph_Forward,PTS
8,4,0.11630021069555108,soph_Forward,PTS
8,6,0.09277856455604576,soph_Forward,PTS
8,8,0.10027374732411908,soph_Forward,PTS
8,10,0.08857068223142246,soph_Forward,PTS
8,16,0.09579236027010928,soph_Forward,PTS
8,32,0.08849511059909979,soph_Forward,PTS
9,2,0.2744022489573911,soph_Forward,PTS
9,4,0.18138368534387012,soph_Forward,PTS
9,6,0.12161481916372072,soph_Forward,PTS
9,8,0.08998504690294626,soph_Forward,PTS
9,10,0.10198990848228329,soph_Forward,PTS
9,16,0.08458186255696101,soph_Forward,PTS
9,32,0.08003559227799081,soph_Forward,PTS
10,2,0.2879889688533468,soph_Forward,PTS
10,4,0.1410327696696804,soph_Forward,PTS
10,6,0.10534264188496041,soph_Forward,PTS
10,8,0.10688827275476012,soph_Forward,PTS
10,10,0.10597618450024134,soph_Forward,PTS
10,16,0.0718677735397011,soph_Forward,PTS
10,32,0.048589858391471626,soph_Forward,PTS
11,2,0.275080353847853,soph_Forward,PTS
11,4,0.0963473391897499,soph_Forward,PTS
11,6,0.06830020926139065,soph_Forward,PTS
11,8,0.06361596093970748,soph_Forward,PTS
11,10,0.06739886439865096,soph_Forward,PTS
11,16,0.0747660158520333,soph_Forward,PTS
11,32,0.056400422394526195,soph_Forward,PTS
12,2,0.3012537288568101,soph_Forward,PTS
12,4,0.23955808960561806,soph_Forward,PTS
12,6,0.124894416341491,soph_Forward,PTS
12,8,0.08700206901936264,soph_Forward,PTS
12,10,0.07882335739190176,soph_Forward,PTS
12,16,0.054367528883590976,soph_Forward,PTS
12,32,0.057367878953065284,soph_Forward,PTS
13,2,0.37241994775722576,soph_Forward,PTS
13,4,0.17703548398800836,soph_Forward,PTS
13,6,0.06377125823333757,soph_Forward,PTS
13,8,0.060684068473475586,soph_Forward,PTS
13,10,0.04727472545555033,soph_Forward,PTS
13,16,0.08269032886377928,soph_Forward,PTS
13,32,0.07594938251044732,soph_Forward,PTS
14,2,0.242883318191447,soph_Forward,PTS
14,4,0.12064935847274673,soph_Forward,PTS
14,6,0.10106466063820478,soph_Forward,PTS
14,8,0.10867235106820732,soph_Forward,PTS
14,10,0.1103375424470584,soph_Forward,PTS
14,16,0.09452757707685029,soph_Forward,PTS
14,32,0.06414016752164786,soph_Forward,PTS
15,2,0.2837978571131997,soph_Forward,PTS
15,4,0.1856541282296893,soph_Forward,PTS
15,6,0.15383956063354406,soph_Forward,PTS
15,8,0.12408307886611838,soph_Forward,PTS
15,10,0.11898404757588289,soph_Forward,PTS
15,16,0.07760120260425418,soph_Forward,PTS
15,32,0.051342741831752796,soph_Forward,PTS
16,2,0.21788975387617307,soph_Forward,PTS
16,4,0.1301397344787682,soph_Forward,PTS
16,6,0.07841347994962362,soph_Forward,PTS
16,8,0.07564264861795392,soph_Forward,PTS
16,10,0.09966212999248888,soph_Forward,PTS
16,16,0.10515869024121739,soph_Forward,PTS
16,32,0.04546111008514419,soph_Forward,PTS
17,2,0.3013526758874355,soph_Forward,PTS
17,4,0.144580927108935,soph_Forward,PTS
17,6,0.1278977877571386,soph_Forward,PTS
17,8,0.1011831105300583,soph_Forward,PTS
17,10,0.08292736313049093,soph_Forward,PTS
17,16,0.09301998496770143,soph_Forward,PTS
17,32,0.05948758491867988,soph_Forward,PTS
18,2,0.3891440219685211,soph_Forward,PTS
18,4,0.114489404567442,soph_Forward,PTS
18,6,0.05621552983606054,soph_Forward,PTS
18,8,0.03907460496282557,soph_Forward,PTS
18,10,0.0412115887824676,soph_Forward,PTS
18,16,0.0744312053963497,soph_Forward,PTS
18,32,0.05121869509600055,soph_Forward,PTS
19,2,0.2438215666417837,soph_Forward,PTS
19,4,0.10978436661566562,soph_Forward,PTS
19,6,0.08815214120618295,soph_Forward,PTS
19,8,0.09505734169982176,soph_Forward,PTS
19,10,0.07391121688747761,soph_Forward,PTS
19,16,0.08907638563502773,soph_Forward,PTS
19,32,0.06896588070328834,soph_Forward,PTS
20,2,0.29961889509172607,soph_Forward,PTS
20,4,0.1883987575585713,soph_Forward,PTS
20,6,0.1279805400884501,soph_Forward,PTS
20,8,0.14687078679395815,soph_Forward,PTS
20,10,0.10898591234318934,soph_Forward,PTS
20,16,0.08026536920262085,soph_Forward,PTS
20,32,0.039604048231970564,soph_Forward,PTS
21,2,0.3590685619084866,soph_Forward,PTS
21,4,0.2271041038644605,soph_Forward,PTS
21,6,0.12317944089225488,soph_Forward,PTS
21,8,0.09973119963312702,soph_Forward,PTS
21,10,0.09482853672882799,soph_Forward,PTS
21,16,0.06073747364424241,soph_Forward,PTS
21,32,0.05061877541367454,soph_Forward,PTS
22,2,0.2564335373779861,soph_Forward,PTS
22,4,0.11833737620526029,soph_Forward,PTS
22,6,0.08730686614475115,soph_Forward,PTS
22,8,0.06884303615492723,soph_Forward,PTS
22,10,0.06848193231200214,soph_Forward,PTS
22,16,0.08510679371403328,soph_Forward,PTS
22,32,0.07090125966365508,soph_Forward,PTS
23,2,0.2406009362559301,soph_Forward,PTS
23,4,0.16788531330248646,soph_Forward,PTS
23,6,0.0899335085548386,soph_Forward,PTS
23,8,0.058720160546083366,soph_Forward,PTS
23,10,0.040583414745386445,soph_Forward,PTS
23,16,0.0740355577081548,soph_Forward,PTS
23,32,0.04962069649789034,soph_Forward,PTS
24,2,0.21059408382928987,soph_Forward,PTS
24,4,0.07536081906842679,soph_Forward,PTS
24,6,0.08274899720737731,soph_Forward,PTS
24,8,0.05799097940700388,soph_Forward,PTS
24,10,0.08185247790745287,soph_Forward,PTS
24,16,0.09539619071313811,soph_Forward,PTS
24,32,0.06730114233145676,soph_Forward,PTS
25,2,0.31879083538098435,soph_Forward,PTS
25,4,0.2227622121695955,soph_Forward,PTS
25,6,0.14606633516429854,soph_Forward,PTS
25,8,0.11351671945248201,soph_Forward,PTS
25,10,0.09970719792448351,soph_Forward,PTS
25,16,0.07531280316661997,soph_Forward,PTS
25,32,0.059003084055244015,soph_Forward,PTS
26,2,0.2918707980243906,soph_Forward,PTS
26,4,0.21199832189835388,soph_Forward,PTS
26,6,0.13184658764347992,soph_Forward,PTS
26,8,0.12115002725460346,soph_Forward,PTS
26,10,0.11105101845519892,soph_Forward,PTS
26,16,0.09184212519719691,soph_Forward,PTS
26,32,0.05548489590263204,soph_Forward,PTS
27,2,0.26987885204973766,soph_Forward,PTS
27,4,0.16196779754787066,soph_Forward,PTS
27,6,0.15077384167436278,soph_Forward,PTS
27,8,0.09815181841139997,soph_Forward,PTS
27,10,0.07584127675810784,soph_Forward,PTS
27,16,0.09231521635742816,soph_Forward,PTS
27,32,0.08000408128940228,soph_Forward,PTS
28,2,0.27513324720857457,soph_Forward,PTS
28,4,0.12063673517605045,soph_Forward,PTS
28,6,0.07808588450552453,soph_Forward,PTS
28,8,0.07397599909067357,soph_Forward,PTS
28,10,0.07906104206310002,soph_Forward,PTS
28,16,0.08526066064604518,soph_Forward,PTS
28,32,0.07796990934294498,soph_Forward,PTS
29,2,0.24158190478289224,soph_Forward,PTS
29,4,0.1593559918315735,soph_Forward,PTS
29,6,0.07455989795701712,soph_Forward,PTS
29,8,0.04179978952637866,soph_Forward,PTS
29,10,0.07792934856123666,soph_Forward,PTS
29,16,0.08033408302661992,soph_Forward,PTS
29,32,0.09746257385642579,soph_Forward,PTS
30,2,0.2731255104526506,soph_Forward,PTS
30,4,0.1720626240758988,soph_Forward,PTS
30,6,0.1547573645507704,soph_Forward,PTS
30,8,0.11706179956261567,soph_Forward,PTS
30,10,0.10188144886629248,soph_Forward,PTS
30,16,0.09335078593451493,soph_Forward,PTS
30,32,0.07046762051284766,soph_Forward,PTS
31,2,0.25651550867190515,soph_Forward,PTS
31,4,0.19301733526878626,soph_Forward,PTS
31,6,0.12890808882217572,soph_Forward,PTS
31,8,0.09877401583432782,soph_Forward,PTS
31,10,0.09147330325672925,soph_Forward,PTS
31,16,0.08577521321737923,soph_Forward,PTS
31,32,0.09533595031304691,soph_Forward,PTS
32,2,0.30621969544495964,soph_Forward,PTS
32,4,0.08302673716931037,soph_Forward,PTS
32,6,0.06623880417452675,soph_Forward,PTS
32,8,0.07255500164478565,soph_Forward,PTS
32,10,0.0862882688027939,soph_Forward,PTS
32,16,0.07227027122804114,soph_Forward,PTS
32,32,0.054103808816328154,soph_Forward,PTS
33,2,0.26366182654541837,soph_Forward,PTS
33,4,0.11388174054263983,soph_Forward,PTS
33,6,0.0869520367590338,soph_Forward,PTS
33,8,0.08559672142569796,soph_Forward,PTS
33,10,0.08683107435906212,soph_Forward,PTS
33,16,0.0871733036178845,soph_Forward,PTS
33,32,0.0939189510750133,soph_Forward,PTS
34,2,0.23105876640025394,soph_Forward,PTS
34,4,0.11751807244259997,soph_Forward,PTS
34,6,0.07094071397010389,soph_Forward,PTS
34,8,0.0847201747438105,soph_Forward,PTS
34,10,0.07031624809838401,soph_Forward,PTS
34,16,0.07744132401950114,soph_Forward,PTS
34,32,0.08390920707270969,soph_Forward,PTS
35,2,0.22599832528884395,soph_Forward,PTS
35,4,0.14065371655705897,soph_Forward,PTS
35,6,0.08301291623773115,soph_Forward,PTS
35,8,0.06522628272466457,soph_Forward,PTS
35,10,0.0879517991934131,soph_Forward,PTS
35,16,0.09473120899847595,soph_Forward,PTS
35,32,0.07224759037541673,soph_Forward,PTS
36,2,0.2915311588985887,soph_Forward,PTS
36,4,0.15161629039277913,soph_Forward,PTS
