nba_api_id,name,proj_mean,proj_sd,proj_q05,proj_q25,proj_q75,proj_q95,actual,actual_minutes,actual_games,error,abs_error,z_error,stat,test_season
2544,LeBron James,3.135929675956151,0.40351729795764224,2.472674060202943,2.8625472182453566,3.4073431288876073,3.809261431197404,3.5167464114832536,2508.0,71,0.3808167355271026,0.3808167355271026,0.9437432731002214,TOV,2023-24
101108,Chris Paul,2.25662905832406,0.37500984821247696,1.6495157196733328,2.0027718200695097,2.5048613451369937,2.8928535398355923,1.7847358121330723,1533.0,58,-0.4718932461909877,0.4718932461909877,-1.2583489432085995,TOV,2023-24
200768,Kyle Lowry,2.4541596441660487,0.38091431237540574,1.8085633639704508,2.2021173241616667,2.7101101172641457,3.0784634769942247,1.8095801301005323,1691.0,60,-0.6445795140655164,0.6445795140655164,-1.6921903250257986,TOV,2023-24
200782,P.J. Tucker,0.9438280564626871,0.3411185707293837,0.39723495938789716,0.7052199443732333,1.1677438172759373,1.5088430648123494,0.5913757700205339,487.0,31,-0.3524522864421532,0.3524522864421532,-1.0332251500952752,TOV,2023-24
201143,Al Horford,0.8648802719636436,0.331096576159122,0.3159001784926801,0.6424827548519741,1.0918151301206085,1.4004060407675214,0.991963260619977,1742.0,65,0.12708298865633338,0.12708298865633338,0.3838245328011439,TOV,2023-24
201144,Mike Conley,1.9507876486828635,0.36289258850398454,1.3554765771593222,1.6984148440827775,2.2000904410494027,2.550687804825171,1.6767123287671235,2190.0,76,-0.27407531991573997,0.27407531991573997,-0.7552519081351551,TOV,2023-24
201145,Jeff Green,1.4038405622066963,0.3655095921437408,0.8166330614813174,1.160335632572579,1.6429132805183946,2.0095827939773834,1.2679938744257275,1306.0,78,-0.13584668778096876,0.13584668778096876,-0.3716638104740778,TOV,2023-24
201566,Russell Westbrook,3.91506286179921,0.41753582375618,3.247895426070468,3.6281528998824366,4.19241935338755,4.605046130995257,3.3971166448230665,1526.0,68,-0.5179462169761435,0.5179462169761435,-1.2404833010893892,TOV,2023-24
201567,Kevin Love,1.9897220931447726,0.3766916095423342,1.3801503756921956,1.7316291155804473,2.2401681374001376,2.605321657194336,1.8660907127429804,926.0,55,-0.12363138040179211,0.12363138040179211,-0.32820317009980515,TOV,2023-24
201569,Eric Gordon,1.978547486844308,0.35866747340679883,1.4156071641573231,1.7285573643096044,2.225873653723038,2.581201384505649,1.3890063424947146,1892.0,68,-0.5895411443495935,0.5895411443495935,-1.6436983781937173,TOV,2023-24
