stan_idx,nba_api_id,name,drives_per_36,postup_per_36,fta_per_drive_eb,fta_per_postup_eb,fta_per_36_v6,actual,naive
1,1713,Vince Carter,7.169520199999999,0.4176056683125,0.07140364429850347,0.09027236309975847,0.6045909327415746,,
2,2544,LeBron James,11.544184512500001,3.60347543125,0.16728838127488777,0.06477810845596013,2.3810976887925204,5.7990430622009566,6.024564994882293
3,2546,Carmelo Anthony,1.9567898925000002,3.931679210625,0.1856082270580996,0.18517452674862397,1.2003674538097244,,
4,2594,Kyle Korver,4.493255720625,0.092038625906875,0.1148945563984893,0.12073266516063798,0.5800989605506082,,
5,2730,Dwight Howard,0.49036834125,1.4806424525,0.2386309822098152,0.25561874804398144,0.5450467538184962,,
6,2738,Andre Iguodala,3.19435018125,0.4385239185625,0.05626969972171504,0.07978410981313713,0.23620560257714335,,0.9557522123893805
7,2772,Trevor Ariza,4.81173690625,0.7988230964375,0.12055763831170202,0.06273589703558874,0.6932271732347597,,
8,101107,Marvin Williams,3.199263136875,2.3816299425,0.10722318816206955,0.11885450934657019,0.6887129167226645,,
9,101108,Chris Paul,15.28864901875,0.220471649125,0.03958301352035908,0.06467436745212185,0.6813726317920406,1.2211350293542074,3.0476190476190474
10,101133,Ian Mahinmi,1.2307965,2.9781500248124995,0.20856459837898542,0.09345180711514615,0.588515487326257,,
11,101141,Ersan Ilyasova,2.91003731125,1.2114415105625,0.14068923525464244,0.12978665776980863,0.623303855483929,,
12,101150,Lou Williams,15.27869159375,0.0412754169375,0.13015027851442265,0.10693410907008503,2.192233687819163,,
13,200746,LaMarcus Aldridge,0.6837857350000001,6.180613636875,0.15400620565219403,0.15307567652256177,1.156549746347224,,
14,200752,Rudy Gay,4.6238239312500005,1.9827942506250003,0.2025366436821497,0.0866322748807478,1.2190945322211582,,2.161764705882353
15,200755,JJ Redick,4.924624025,0.045122582661874994,0.10193867677129598,0.12615910160506671,0.5584725093148918,,
16,200765,Rajon Rondo,13.4755946375,0.06941623292500002,0.052150446488886434,0.10300977440311539,0.7808997102966259,,
17,200768,Kyle Lowry,10.503030512499999,0.0979625738125,0.12289850344456942,0.063434483778425,1.4267230306101308,1.596688350088705,2.8305183459522425
18,200782,P.J. Tucker,1.2874785975,0.2551271501875,0.08220706016531278,0.049199291298678456,0.13023109605716265,0.22176591375770022,0.431924882629108
19,200794,Paul Millsap,4.6771784875,2.6452910406249996,0.18012070384732604,0.174532521340311,1.434560595806017,,
