cohort,stat,n_obs,n_configs_retained,k_star,silhouette_obs,p_value,verdict
rookie_Center,PTS,215,3,,,,insufficient_configs
rookie_Center,REB,215,3,,,,insufficient_configs
rookie_Center,AST,215,3,,,,insufficient_configs
rookie_Forward,PTS,772,33,4.0,0.18784488481784986,0.32,no_structure_underpowered
rookie_Forward,REB,772,33,2.0,0.29593479164659336,0.694,no_structure_underpowered
rookie_Forward,AST,772,33,2.0,0.3413167675595441,0.772,no_structure_underpowered
rookie_Guard,PTS,611,30,2.0,0.3252068616646116,0.044,ambiguous
rookie_Guard,REB,611,30,2.0,0.2906917651416589,0.438,no_structure_underpowered
rookie_Guard,AST,611,30,2.0,0.27477313973661593,0.454,no_structure_underpowered
soph_Center,PTS,489,23,2.0,0.2302706099452315,0.352,no_structure_underpowered
soph_Center,REB,489,23,2.0,0.2304974891915176,0.532,no_structure_underpowered
soph_Center,AST,489,23,2.0,0.30526204476707125,0.27,no_structure_underpowered
soph_Forward,PTS,2207,57,2.0,0.3873352901949131,0.22,no_structure
soph_Forward,REB,2207,57,2.0,0.3586416537904324,0.506,no_structure
soph_Forward,AST,2207,57,2.0,0.35061724647688414,0.732,no_structure
soph_Guard,PTS,2568,58,2.0,0.3488189413208864,0.484,no_structure
soph_Guard,REB,2568,58,2.0,0.34580298830122597,0.632,no_structure
soph_Guard,AST,2568,58,2.0,0.35931885861566426,0.67,no_structure
vet_Center,PTS,1499,52,2.0,0.506997125923649,0.326,no_structure
vet_Center,REB,1499,52,2.0,0.4420004165815236,0.028,ambiguous
vet_Center,AST,1499,52,2.0,0.37007603712558484,0.476,no_structure
vet_Forward,PTS,3007,59,2.0,0.33204623576953174,0.83,no_structure
vet_Forward,REB,3007,59,2.0,0.36938887321233527,0.834,no_structure
vet_Forward,AST,3007,59,2.0,0.30959656118055534,0.9,no_structure
vet_Guard,PTS,4008,63,2.0,0.42114123484887883,0.304,no_structure
vet_Guard,REB,4008,63,2.0,0.3901188159143897,0.686,no_structure
vet_Guard,AST,4008,63,2.0,0.34475173205280685,0.824,no_structure
