position,age_int,n_player_seasons,mean_per_36,sd_per_36,median_per_36
G,19,26,4.822929969761382,1.3315341524047704,4.873804807644453
G,20,71,5.0244702719419445,1.5725440178080474,4.699507389162562
G,21,95,4.923945191361174,1.4053150572007165,4.64423076923077
G,22,120,4.891296779364514,1.4441254735277305,4.596044514969682
G,23,127,4.813785360777746,1.3169366415993635,4.657534246575342
G,24,136,4.837746721109268,1.447313528217172,4.73393087412317
G,25,108,4.6804160022377665,1.3242615856426585,4.44926691657307
G,26,99,4.686744465496408,1.3828864453705483,4.407052896725441
G,27,92,4.653579933941479,1.5042121084410587,4.3340177113738685
G,28,95,4.707864575586681,1.5163051736251278,4.248989490703314
G,29,71,4.421603749460125,1.3044609158767124,4.20757363253857
G,30,67,4.756515200050601,1.5506424104585383,4.590452261306533
G,31,56,4.50012133952401,1.2605922300217594,4.317721745232122
G,32,43,4.6974481449529035,1.5636004593647441,4.468085106382978
G,33,32,4.437969005095079,1.1809206459297379,4.384233516624699
G,34,28,4.376679477462059,1.1407425230056367,4.17249345448945
G,35,22,4.495122077804522,1.2162601569057467,4.382466860730869
G,36,13,4.34581865845005,1.4176167766368504,4.551724137931035
G,37,7,4.901774713263328,0.7431495309941057,4.780952380952382
F,19,27,6.88955695560165,2.1474177399001904,7.1208791208791204
F,20,55,7.0189950160656975,2.1989007979280415,6.651026392961877
F,21,73,7.414621495454075,2.110098759688904,6.927731092436975
F,22,97,7.795585403286098,2.2486295094835347,7.699999999999999
F,23,99,7.51088584314836,2.2094986414512556,7.053105310531053
F,24,112,7.603753141097899,2.3294079407615134,6.9395764877692585
F,25,97,7.5945844985507325,2.652553786703903,7.190105359596885
F,26,85,7.307698113623537,2.3728996780653797,6.669473684210526
F,27,75,7.479293146735522,2.433809540111904,7.065120428189117
F,28,66,7.538115455513999,2.5506692011171666,7.355666605538236
F,29,62,7.51933608622379,2.3569039635316638,7.069637429439861
F,30,50,7.222550612192656,2.3720974458817863,7.026766567261701
F,31,44,7.31583111715342,2.4010727417851188,7.157089084065245
F,32,39,7.291040900345075,2.296086526800886,7.121418826739427
F,33,28,6.976624245250526,2.0920661515043437,6.660157276711823
F,34,23,6.986061730301827,2.2991270327951283,6.532060027285129
F,35,19,7.394231471994398,2.3985360207163318,6.942698706099815
F,36,11,7.2355840463796905,2.6036238993071987,6.82051282051282
F,37,5,6.314222303261216,1.3888515171413285,5.76
C,19,6,10.040248126706816,1.6768141196983681,9.66361739326603
C,20,12,11.367637575689805,2.2241554959561425,11.153793943970028
C,21,24,11.345239913994044,2.2005011823449125,11.24006529416511
C,22,29,11.369070725470419,2.1211040519432705,11.076923076923077
C,23,37,10.87473824624762,2.299564786923908,10.903846153846153
C,24,37,10.493669196041253,1.9496226115883857,10.755555555555556
C,25,33,10.649008639027373,2.187743369977143,10.661613427179208
C,26,26,11.88708822224218,2.1436485509095133,11.709417425147866
C,27,28,11.45000843343945,2.755029389286274,11.161526326567813
C,28,22,11.808432697138578,3.073922784850333,11.874361948955917
C,29,20,12.8601546098283,2.5098524472354895,12.907372374376866
C,30,16,12.941524663756615,2.3527409373300356,12.67250216619275
C,31,18,12.367620243244154,3.128895992639797,13.488084557586632
C,32,15,11.658603190401168,2.818288082528026,11.81438127090301
C,33,12,10.809305540803186,2.8242396226647917,11.178791398958497
C,34,10,10.182259911873354,2.774808194161613,9.373943533707333
C,35,7,10.54951071851063,3.988217306368119,9.511465603190429
C,36,6,9.545110094899952,3.678107727577117,8.098715194285958
