coc_number,dem_share_2012,dem_share_2020,d_dem_share,single_person_hh_share_2012,single_person_hh_share_2024,d_single_person,never_married_share_2012,never_married_share_2024,d_never_married,social_capital_index
AK-500,0.4040655737704918,0.6719438325991189,0.26787825882862715,0.2562620241288134,0.2850539149331934,0.028791890804379994,0.33064910351088533,0.35241717675133855,0.021768073240453212,-0.3419995759387546
AK-501,0.5195287282117496,0.4593592798517342,-0.060169448360015365,0.2504452993114864,0.277513465026732,0.027068165715245618,0.31594523969277777,0.3417813425886265,0.025836102895848756,-0.40366157447398526
AL-500,0.4340676547987978,0.46647633370967034,0.03240867891087257,0.288613770016785,0.3043610750532817,0.015747305036496684,0.3013400364109698,0.33368714258760945,0.03234710617663966,-0.17682930269253097
AL-501,0.37654643868682997,0.3602422110587559,-0.01630422762807404,0.27111364467616295,0.30863652937617203,0.037522884700009085,0.2819630057602888,0.304914186607174,0.02295118084688519,-0.5505338956787802
AL-502,0.31633396060482843,0.2279017408434849,-0.08843221976134352,0.2779390780851721,0.3001822005266293,0.022243122441457208,0.2262179772159674,0.2681222674889661,0.04190429027299872,-0.29253238440402396
AL-503,0.36006721468590225,0.3920405388703498,0.03197332418444754,0.28644090460187055,0.30616359827348816,0.019722693671617608,0.2761823881452119,0.3078681314810531,0.03168574333584118,-0.6303512103990313
AL-504,0.5093514877498109,0.5127659334206603,0.0034144456708494753,0.28562073707548696,0.3156580572617049,0.030037320186217964,0.3316850553880429,0.36545895622330427,0.03377390083526138,-0.13934790619507803
AL-506,0.411949200473032,0.42488917891136563,0.01293997843833361,0.29142066284839296,0.3192932972060587,0.027872634357665738,0.3997290992550229,0.41979035596866504,0.020061256713642117,-0.5984992578928205
AL-507,0.3586832440687868,0.3029429504039664,-0.05574029366482042,0.2819989832178588,0.3060177099957216,0.024018726777862764,0.2760951184549626,0.30680590754678555,0.030710789091822954,-0.7157675510571715
AR-500,0.4664088678139299,0.4929874931172815,0.026578625303351644,0.2950494861035717,0.32992037176047284,0.03487088565690116,0.2865263720453901,0.3149440528372792,0.02841768079188911,-0.11743808683069662
AR-501,0.3499024629423687,0.4033360960250524,0.053433633082683674,0.25185783353008234,0.2498934225395535,-0.001964410990528853,0.2663015193035967,0.3148329527145333,0.04853143341093663,-0.7878966390051182
AR-503,0.3615771482474879,0.31068833751743796,-0.050888810730049916,0.26791595768386456,0.2952410817866691,0.02732512410280452,0.2663163433796626,0.29972373164792526,0.03340738826826267,-0.7262478206274874
AR-504,0.32341841690418943,0.228895564691728,-0.09452285221246143,0.28317411981307766,0.30214228562891865,0.018968165815840987,0.22840521349189244,0.259162040458278,0.03075682696638557,-0.47926051534562036
AR-505,0.45512624430830007,0.3957832472987562,-0.059342997009543874,0.29038149840645344,0.33719717546051153,0.04681567705405809,0.2807563242360666,0.33032281281726644,0.04956648858119983,0.17386255289586616
AR-512,0.2715008049339047,0.20534275443163505,-0.06615805050226967,0.27449431096474863,0.2967908453980714,0.022296534433322746,0.17647441383528045,0.2066582158093368,0.030183801974056346,-0.13800043864555167
AZ-500,0.4177533863015926,0.4159760631339517,-0.0017773231676408985,0.2509699231730831,0.2694714509940247,0.01850152782094161,0.28422367894304745,0.30515069885307594,0.020927019910028488,-1.504054030283288
AZ-501,0.535199319203255,0.5948074946512748,0.05960817544801977,0.3082672002591337,0.3190483912595614,0.010781191000427737,0.32210113130876256,0.3545683452833599,0.03246721397459734,-1.1411762709526627
AZ-502,0.44539531721074255,0.5109707800546489,0.06557546284390636,0.2682629498940348,0.26485008339199895,-0.0034128665020358717,0.32503782313414475,0.35264590469553797,0.027608081561393216,-1.4322816415000967
CA-500,0.7205467497574565,0.7422322686495816,0.02168551889212511,0.22116286572201405,0.22044944058797034,-0.0007134251340437103,0.32461580676728885,0.3580762928607677,0.03346048609347885,-0.5094663104376903
CA-501,0.8650340167259654,0.8701783129646803,0.005144296238714929,0.39408635748843296,0.3882737588262769,-0.005812598662156054,0.47213618189196993,0.45467412457981193,-0.017462057312157997,0.01625204596403173
CA-502,0.8127905085261982,0.8192111601553381,0.006420651629139962,0.27455075216208347,0.25531136020967965,-0.019239391952403817,0.364481352194287,0.37305045023892447,0.008569098044637458,-0.5539827841652554
