stan_idx,nba_api_id,name,pct_3PT_mean,pct_3PT_sd
1,1713,Vince Carter,0.36427829125,0.004609257910463836
2,2544,LeBron James,0.35579139624999995,0.005303266103000671
3,2546,Carmelo Anthony,0.356232720625,0.0051056862546894335
4,2594,Kyle Korver,0.364236176875,0.004471681109699152
5,2730,Dwight Howard,0.346851838125,0.011988523354887018
6,2738,Andre Iguodala,0.364240263125,0.004600302465071209
7,2772,Trevor Ariza,0.355937053125,0.005247069517149808
8,101107,Marvin Williams,0.355892259375,0.005208386700754812
9,101108,Chris Paul,0.36425027312499997,0.004628209977926427
10,101139,CJ Miles,0.36435403875,0.004648076513031862
11,101141,Ersan Ilyasova,0.35595081124999994,0.005151546504388118
12,101150,Lou Williams,0.36442526000000003,0.0045404138507574385
13,200746,LaMarcus Aldridge,0.34673142312500005,0.01206035697099552
14,200752,Rudy Gay,0.35598091062500004,0.005152581906324936
15,200755,JJ Redick,0.364556128125,0.004455708800708252
16,200757,Thabo Sefolosha,0.35603016937500004,0.005112090239881052
17,200765,Rajon Rondo,0.36439284937500005,0.004701661431657655
18,200768,Kyle Lowry,0.36423040437500004,0.004492206507620266
19,200782,P.J. Tucker,0.35600581187499997,0.005243592731871344
20,200794,Paul Millsap,0.35593799750000005,0.005036763223538878
21,200826,J.J. Barea,0.36438153,0.004586287891405205
22,201142,Kevin Durant,0.356160559375,0.005155075644835351
23,201143,Al Horford,0.346909215,0.011861927819657942
24,201144,Mike Conley,0.364450769375,0.004693859357041613
25,201145,Jeff Green,0.356080191875,0.005257650781961369
26,201152,Thaddeus Young,0.35583573312499994,0.005246491910853645
27,201158,Marco Belinelli,0.36438673125,0.004516241920034116
28,201162,Jared Dudley,0.355915265,0.00518476279855453
29,201163,Wilson Chandler,0.35585140187500003,0.005261473273273512
30,201188,Marc Gasol,0.34691328812500005,0.012026220259140399
31,201229,Anthony Tolliver,0.35596397437499994,0.005182753322194523
32,201565,Derrick Rose,0.364273883125,0.004635006478362812
33,201566,Russell Westbrook,0.36374529875,0.004707545396833518
34,201567,Kevin Love,0.35604958499999995,0.005222666299197662
