alpha,thresh_mult,direction,n_total,n_adjusted,mae,rmse,bias,coverage_50,coverage_80,coverage_90,z_err_sd,fantasypros_n,fantasypros_model_mae,fantasypros_consensus_mae,fantasypros_h2h_wins,hash_n,hash_model_mae,hash_consensus_mae,hash_h2h_wins,razzball_n,razzball_model_mae,razzball_consensus_mae,razzball_h2h_wins
0.05,1.0,over_projection_only,199,15,1.9787237834630023,2.621822432152854,0.11595567745268312,0.48743718592964824,0.7537688442211056,0.8291457286432161,1.2031965569343412,182,1.5880450736944745,1.905871967339483,102,89,2.1028857920984785,2.041939537738436,41,114,1.8651245070088378,2.0775412759164693,59
0.1,1.0,over_projection_only,199,15,1.9820828629345488,2.633384748642117,0.136198359435944,0.4824120603015075,0.7537688442211056,0.8291457286432161,1.217429797265792,182,1.5919609402229078,1.905871967339483,101,89,2.1067162854783406,2.041939537738436,41,114,1.8707051224070699,2.0775412759164693,59
0.15,1.0,over_projection_only,199,15,1.988511932725132,2.647282704911094,0.15644104141920506,0.4824120603015075,0.7487437185929648,0.8241206030150754,1.2349051821090489,182,1.598326258653163,1.905871967339483,100,89,2.110546778858202,2.041939537738436,41,114,1.8770346951374002,2.0775412759164693,60
0.2,1.0,over_projection_only,199,15,1.9982448770026147,2.663479739318734,0.1766837234024659,0.48743718592964824,0.7437185929648241,0.8190954773869347,1.2560422426796347,182,1.607781082187929,1.905871967339483,101,89,2.1181535027724188,2.041939537738436,41,114,1.8863123776708668,2.0775412759164693,61
0.25,1.0,over_projection_only,199,15,2.0107666188337032,2.681934197645587,0.19692640538572695,0.49246231155778897,0.7437185929648241,0.8190954773869347,1.281162957565721,182,1.6201823854766217,1.905871967339483,100,89,2.1317856122508445,2.041939537738436,41,114,1.9002940892851639,2.0775412759164693,61
0.3,1.0,over_projection_only,199,15,2.0237716841193256,2.702599836442655,0.21716908736898802,0.4824120603015075,0.7386934673366834,0.8140703517587939,1.3103934042122107,182,1.6330920893722385,1.905871967339483,99,89,2.146457372408599,2.041939537738436,41,114,1.915087458008761,2.0775412759164693,60
0.35,1.0,over_projection_only,199,15,2.036776749404948,2.7254263571188906,0.23741176935224892,0.4824120603015075,0.7386934673366834,0.8090452261306532,1.3435425270544967,182,1.6460017932678555,1.905871967339483,98,89,2.161129132566353,2.041939537738436,41,114,1.929880826732358,2.0775412759164693,60
0.4,1.0,over_projection_only,199,15,2.04978181469057,2.7503599576994144,0.2576544513355099,0.47738693467336685,0.7336683417085427,0.8090452261306532,1.3799793556120723,182,1.6589114971634726,1.905871967339483,98,89,2.1758008927241077,2.041939537738436,41,114,1.9446741954559554,2.0775412759164693,60
0.45,1.0,over_projection_only,199,15,2.0630813095322913,2.777343889844,0.2778971333187708,0.4723618090452261,0.7336683417085427,0.8040201005025126,1.4185489649113983,182,1.67215022463144,1.905871967339483,98,89,2.191145487602849,2.041939537738436,41,114,1.9599928474266388,2.0775412759164693,60
0.5,1.0,over_projection_only,199,15,2.0785422118868495,2.806319009786801,0.2981398153020318,0.46733668341708545,0.7286432160804021,0.8040201005025126,1.4575801769283507,182,1.687804314302174,1.905871967339483,98,89,2.211429362491741,2.041939537738436,41,114,1.979167603966651,2.0775412759164693,60
0.55,1.0,over_projection_only,199,15,2.094003114241408,2.8372243132377184,0.3183824972852929,0.4723618090452261,0.7286432160804021,0.8040201005025126,1.4950289606385676,182,1.7034584039729077,1.905871967339483,98,89,2.2317132373806334,2.041939537738436,40,114,1.998342360506663,2.0775412759164693,60
0.6,1.0,over_projection_only,199,15,2.109464016595966,2.869997445863534,0.3386251792685538,0.4723618090452261,0.7185929648241206,0.7989949748743719,1.5287600654187974,182,1.719112493643642,1.905871967339483,97,89,2.2519971122695264,2.041939537738436,40,114,2.017517117046675,2.0775412759164693,59
0.65,1.0,over_projection_only,199,15,2.1249249189505246,2.9045751826383617,0.3588678612518148,0.46733668341708545,0.7185929648241206,0.7939698492462312,1.5569058644476705,182,1.7347665833143755,1.905871967339483,98,89,2.272280987158419,2.041939537738436,40,114,2.0366918735866872,2.0775412759164693,59
0.7,1.0,over_projection_only,199,15,2.140385821305083,2.9408938710252075,0.37911054323507587,0.46733668341708545,0.7185929648241206,0.7889447236180904,1.5781911674439986,182,1.7504206729851097,1.905871967339483,97,89,2.2925648620473114,2.041939537738436,38,114,2.0558666301266992,2.0775412759164693,59
0.75,1.0,over_projection_only,199,15,2.155846723659641,2.978889834547106,0.39935322521833677,0.46733668341708545,0.7185929648241206,0.7889447236180904,1.5921141927432294,182,1.7660747626558435,1.905871967339483,95,89,2.312848736936204,2.041939537738436,38,114,2.0750413866667112,2.0775412759164693,58
0.8,1.0,over_projection_only,199,15,2.171642087556558,3.018499734769252,0.41959590720159773,0.46733668341708545,0.7185929648241206,0.7889447236180904,1.5989333046141772,182,1.7817288523265773,1.905871967339483,95,89,2.333132611825096,2.041939537738436,38,114,2.0942161432067232,2.0775412759164693,58
0.85,1.0,over_projection_only,199,15,2.188823695745679,3.0596608910033627,0.43983858918485874,0.46733668341708545,0.7185929648241206,0.7889447236180904,1.5994907150090147,182,1.7973829419973113,1.905871967339483,95,89,2.3534164867139884,2.041939537738436,38,114,2.1133908997467357,2.0775412759164693,58
0.9,1.0,over_projection_only,199,15,2.2068721216168,3.102311558139904,0.4600812711681198,0.46733668341708545,0.7135678391959799,0.7939698492462312,1.594958843604798,182,1.8130370316680453,1.905871967339483,95,89,2.373700361602881,2.041939537738436,38,114,2.132565656286747,2.0775412759164693,58
0.95,1.0,over_projection_only,199,15,2.2249205474879212,3.1463911639052258,0.4803239531513807,0.46733668341708545,0.7185929648241206,0.7939698492462312,1.586598501975774,182,1.828691121338779,1.905871967339483,95,89,2.3939842364917734,2.041939537738436,38,114,2.151740412826759,2.0775412759164693,57
0.05,1.5,over_projection_only,199,13,1.9798080112550462,2.622105150752251,0.11487144966063918,0.48743718592964824,0.7537688442211056,0.8291457286432161,1.203260612227009,182,1.5885718522313614,1.905871967339483,102,89,2.1028857920984785,2.041939537738436,41,114,1.8659655043221135,2.0775412759164693,59
0.1,1.5,over_projection_only,199,13,1.9835717943373778,2.6339025169902133,0.13402990385185612,0.4824120603015075,0.7537688442211056,0.8291457286432161,1.2175603359207294,182,1.5924300673430134,1.905871967339483,101,89,2.1067162854783406,2.041939537738436,41,114,1.871454079739168,2.0775412759164693,59
0.15,1.5,over_projection_only,199,13,1.98986010763665,2.6479878693105996,0.15318835804307318,0.4824120603015075,0.7487437185929648,0.8241206030150754,1.2351033750737141,182,1.5982686072363816,1.905871967339483,100,89,2.110546778858202,2.041939537738436,41,114,1.8769426551562223,2.0775412759164693,60
