name,nba_api_id,reconstructed_pts_per36_no_ft,actual_pts_per36,err
Vince Carter,1713,16.11442849013614,12.246575342465754,3.867853147670388
LeBron James,2544,26.11142482716208,27.987274115551028,-1.8758492883889488
Carmelo Anthony,2546,16.336805431867347,18.273637374860957,-1.93683194299361
Kyle Korver,2594,15.24238906671474,14.475000000000001,0.7673890667147383
Dwight Howard,2730,11.93473965454896,14.260618318405086,-2.325878663856127
Andre Iguodala,2738,10.109353551182217,7.462348178137652,2.647005373044565
Trevor Ariza,2772,12.90026347488018,10.328080229226362,2.572183245653818
Marvin Williams,101107,12.414888818882527,10.927433628318585,1.4874551905639422
Chris Paul,101108,13.501492427207767,17.741851368970014,-4.240358941762247
Ian Mahinmi,101133,11.916792573265337,12.640198511166252,-0.7234059379009157
Ersan Ilyasova,101141,14.281418590761628,15.260176991150443,-0.9787584003888146
Lou Williams,101150,16.80480350554347,20.14380044020543,-3.3389969346619566
LaMarcus Aldridge,200746,14.169373029930181,20.275862068965516,-6.106489039035335
Rudy Gay,200752,15.373369535191593,16.816448918397946,-1.4430793832063529
JJ Redick,200755,15.611339335752294,19.4375,-3.8261606642477055
Rajon Rondo,200765,13.464969344971848,11.30505709624796,2.159912248723888
Kyle Lowry,200768,13.657118779489124,16.091089633258306,-2.433970853769182
P.J. Tucker,200782,7.343087493615773,6.980067305203209,0.36302018841256345
Paul Millsap,200794,15.211468395031371,15.61508078994614,-0.4036123949147683
Kevin Durant,201142,18.4103660709199,29.17203198687718,-10.76166591595728
Al Horford,201143,10.59775042547381,13.436506757760284,-2.838756332286474
Mike Conley,201144,14.717790761291807,17.04798962386511,-2.3301988625733028
Jeff Green,201145,13.896959409574398,15.12489113394879,-1.2279317243743915
Thaddeus Young,201152,13.739211153288144,15.063254861821905,-1.324043708533761
Marco Belinelli,201158,15.635978953423798,14.73469387755102,0.901285075872778
Wilson Chandler,201163,12.916549263652616,10.068212824010915,2.8483364396417006
Marc Gasol,201188,8.883389349034001,9.920074349442379,-1.0366850004083776
Anthony Tolliver,201229,12.49299054857557,8.037037037037038,4.455953511538532
Derrick Rose,201565,18.60996414165696,21.275949367088607,-2.6659852254316476
Russell Westbrook,201566,20.758086288622515,21.838751625487646,-1.080665336865131
Kevin Love,201567,16.145260970412274,19.048049745618997,-2.902788775206723
Danilo Gallinari,201568,15.189040146353205,19.85865425306813,-4.669614106714926
Eric Gordon,201569,16.016136904960973,17.354660783232212,-1.3385238782712392
D.J. Augustin,201571,12.849134966466815,13.969679300291544,-1.1205443338247285
Brook Lopez,201572,13.680432296071956,17.312460864120226,-3.63202856804827
Robin Lopez,201577,12.267463750205339,15.237209302325581,-2.9697455521202425
JaVale McGee,201580,15.810174096476924,17.789631405454,-1.979457308977075
Serge Ibaka,201586,14.98199422528914,17.758768177929852,-2.7767739526407116
Nicolas Batum,201587,10.101057296621732,10.364031907179116,-0.262974610557384
George Hill,201588,10.999394825840263,12.351801242236023,-1.3524064163957608
DeAndre Jordan,201599,11.182996570237192,12.640476835545922,-1.45748026530873
Goran Dragic,201609,17.219193995305442,17.70721649484536,-0.48802249953991605
Blake Griffin,201933,13.889325609813472,14.647660365664702,-0.7583347558512301
James Harden,201935,17.97576561695691,25.277925685843268,-7.302160068886359
Ricky Rubio,201937,13.883578360487874,13.82794891059354,0.055629449894334826
Stephen Curry,201939,23.248374345835497,30.15551761601738,-6.907143270181884
DeMar DeRozan,201942,17.533292382938136,24.792903028449068,-7.259610645510932
James Johnson,201949,13.754733108484857,12.270288174892348,1.484444933592508
Jrue Holiday,201950,18.323017287259365,20.243577545195052,-1.920560257935687
Jeff Teague,201952,13.380536020774308,15.073231278444354,-1.6926952576700458
Taj Gibson,201959,9.9790064654674,10.771403353927626,-0.7923968884602264
Wayne Ellington,201961,13.283798899259164,13.760268231349539,-0.47646933209037456
Patrick Beverley,201976,10.724397216030553,10.74597364568082,-0.02157642965026696
Danny Green,201980,11.294642716230324,11.45358608559703,-0.15894336936670506
Patty Mills,201988,14.5025661429714,15.826258637709774,-1.3236924947383741
Garrett Temple,202066,12.656900074684087,11.33362831858407,1.3232717561000165
Wesley Matthews,202083,9.73652654458627,9.417556087998257,0.3189704565880138
John Wall,202322,19.00610788073217,21.32484076433121,-2.31873288359904
Derrick Favors,202324,10.952952843537373,12.700102354145342,-1.7471495106079686
DeMarcus Cousins,202326,16.578067360201903,20.0251572327044,-3.4470898725024988
Gordon Hayward,202330,15.103021495802963,18.521861777150917,-3.418840281347954
Paul George,202331,20.452385102162005,25.156903431763766,-4.704518329601761
Patrick Patterson,202335,12.992993787726409,12.92511013215859,0.06788365556781883
Eric Bledsoe,202339,14.92802835900886,16.27985147547391,-1.3518231164650523
Avery Bradley,202340,11.665014919943289,11.1340206185567,0.5309943013865883
Hassan Whiteside,202355,13.906447095428327,18.062886320881482,-4.1564392254531555
Nemanja Bjelica,202357,14.052197675305917,14.453745667821915,-0.40154799251599727
Lance Stephenson,202362,15.146705152777656,17.00369003690037,-1.8569848841227135
Ish Smith,202397,14.274989285653708,13.210775047258979,1.0642142383947295
Kyrie Irving,202681,20.831768643612364,27.062787136294027,-6.231018492681663
Enes Freedom,202683,13.54512355176543,16.008874801901744,-2.4637512501363137
Tristan Thompson,202684,12.177032789254994,13.254419677171406,-1.0773868879164112
Jonas Valančiūnas,202685,15.89327932961963,20.904267589388695,-5.010988259769064
Bismack Biyombo,202687,10.504657081609576,11.469789725845088,-0.9651326442355117
Kemba Walker,202689,17.85482774201759,21.216274089935762,-3.3614463479181715
Klay Thompson,202691,21.156032759463546,24.115313081215128,-2.9592803217515815
Alec Burks,202692,15.138279159057099,17.91910739191074,-2.78082823285364
Markieff Morris,202693,14.212511299451386,14.52299605781866,-0.3104847583672736
Marcus Morris Sr.,202694,14.450137182284582,17.69160931322302,-3.241472130938437
Kawhi Leonard,202695,18.3603019863776,27.31173184357542,-8.95142985719782
Nikola Vučević,202696,16.56271370341818,21.15487330459468,-4.592159601176501
Tobias Harris,202699,15.44068703845609,18.87271574944544,-3.43202871098935
Reggie Jackson,202704,17.068786761086635,17.44359464627151,-0.3748078851848753
Cory Joseph,202709,11.367363973469924,11.482501243987393,-0.11513727051746869
Jimmy Butler III,202710,16.54500485732714,22.9743853777835,-6.429380520456359
Bojan Bogdanović,202711,17.882623636872204,21.71504084574724,-3.832417208875036
Dāvis Bertāns,202722,14.069574894677366,16.63963133640553,-2.5700564417281626
