stan_idx,nba_api_id,name,ra_per36_mean,ra_per36_sd,paint_per36_mean,paint_per36_sd,mid_per36_mean,mid_per36_sd,lc3_per36_mean,lc3_per36_sd,rc3_per36_mean,rc3_per36_sd,ab3_per36_mean,ab3_per36_sd,total_per36_mean
1,1713,Vince Carter,2.784746674375,0.9817785599771255,2.153923109375,1.0405671014660816,2.027178759375,1.4905363036311083,0.806444155625,0.4507132513896615,0.75844801125,0.4193898047744782,6.7777981875,4.723978994119691,15.30853860625
2,2544,LeBron James,10.005762331249999,1.5611353877307141,2.6945531875,0.5974024128378331,3.0399837812500006,0.9482209505111479,0.322267515,0.09695192890526225,0.354753638125,0.10964517421570441,7.1137293,1.9748505450608496,23.531049187500003
3,2546,Carmelo Anthony,2.9391408375,0.6351698430065171,1.6324017256249999,0.46628746111785524,3.7895970125,1.4051466478411425,0.725469843125,0.23817833623984314,0.7192170350000001,0.25991075627099397,5.9806272937500005,1.9723535377746657,15.78645348125
4,2594,Kyle Korver,2.2591614431250004,0.7896610149985549,1.525182726875,0.8133171680222296,1.7682731562499998,1.2531712306066785,0.9322771824999999,0.4876906101297309,0.865743680625,0.46508660651449224,7.050805023125,4.843316132288198,14.401442106249998
5,2730,Dwight Howard,7.659795093750001,1.501686922164867,1.4041193187499998,0.45648388317085975,0.34296509587499996,0.17059253564721522,0.05451675006875,0.030149435930283658,0.0678601074875,0.03292973165464056,0.34419870893750004,0.13878171119968613,9.8734555875
6,2738,Andre Iguodala,2.6925636999999996,0.661609594322766,1.00773128625,0.385804539779743,0.7631316687499999,0.42214072088004645,0.8625864118750001,0.3309277985989991,0.8995485612499999,0.3426016391595785,2.9083626687499997,1.1689923369709017,9.1339242875
7,2772,Trevor Ariza,4.0037457375,1.0761075733153755,1.0378502362500002,0.41733421784393976,0.491624898125,0.3572326848130721,0.9809524218749999,0.4237936021426396,1.1121517525,0.4812367635370686,3.76066783125,1.8635256829306655,11.38699226875
8,101107,Marvin Williams,3.118451975625,1.1460557402666591,1.982794679375,0.944766842083041,1.0342025573125,0.9020050576751381,0.9321316249999999,0.4717791362843442,0.7192227368749999,0.4167566265462316,3.6868861475,2.4808276589607403,11.473689812500002
9,101108,Chris Paul,1.30727881,0.2526411513125661,3.7536469750000006,0.8233787224990846,4.53867968125,1.365878892335018,0.310527488125,0.08823361282351448,0.1596416041875,0.0560966972832782,4.080788,1.0375859425914438,14.1505615625
10,101133,Ian Mahinmi,6.3321288000000004,1.9756873006079898,2.507699495,1.1428110817681743,0.633306156375,0.5183076440903618,0.1095821738125,0.06773601390826925,0.0979546565,0.06753651018854091,0.7477369999999999,0.5034401202996514,10.428408856249998
11,101141,Ersan Ilyasova,4.36756301875,1.4201109769548645,1.8424955299999999,0.8704187931595474,1.109285919375,0.7346725197197271,0.6564450712500001,0.37161590072345013,0.7795141493750001,0.4412108390334414,4.21147428625,2.7659558695899307,12.966778212500001
