stan_idx,nba_api_id,name,ra_fgp_mean,ra_fgp_sd,paint_fgp_mean,paint_fgp_sd,mid_fgp_mean,mid_fgp_sd,lc3_fgp_mean,lc3_fgp_sd,rc3_fgp_mean,rc3_fgp_sd,ab3_fgp_mean,ab3_fgp_sd
1,1713,Vince Carter,0.60407509375,0.04563072126398191,0.4168270325,0.04267961052502346,0.40979170624999994,0.030963772298647028,0.400072633125,0.01767625484310881,0.3940395375,0.011650866028265611,0.349784114375,0.017406822256411228
2,2544,LeBron James,0.7141432006249999,0.015691996147291925,0.37268344562500005,0.024130239014943333,0.3584164137500001,0.01889980117273224,0.38029014625,0.017932099621833494,0.37596455999999995,0.011776503424728836,0.33412147687499993,0.01306308031967251
3,2546,Carmelo Anthony,0.60742845625,0.03269482079229959,0.39453486562500006,0.03484628144899493,0.404896453125,0.022319560635047295,0.38148498687500004,0.017226198109687545,0.3795316825,0.011979652666728019,0.349937158125,0.01528021969628943
4,2594,Kyle Korver,0.6104694487500001,0.045490641134645744,0.414596583125,0.04491719157436371,0.41235143937499996,0.03239950210313925,0.40034057875,0.017923106361936773,0.3943518075,0.012390633323066814,0.357025211875,0.01868794710694527
5,2730,Dwight Howard,0.706060983125,0.02440385640209535,0.42552374125,0.03819503855655598,0.40104284812499996,0.03136140563999498,0.31857705625,0.026851916622572514,0.37031908,0.020836457080675927,0.3457278575,0.019532294616280848
6,2738,Andre Iguodala,0.6260331275,0.03929812826974071,0.41906980375,0.04327661796384955,0.40304409812499997,0.03173319695298988,0.40010194437499996,0.0183274816177109,0.393136215625,0.011822152515949912,0.345247348125,0.017868661645341097
7,2772,Trevor Ariza,0.634517150625,0.03758003391821496,0.40683797999999993,0.04112224942962265,0.39262033625000003,0.030888093901808446,0.3811601725,0.018009687727484167,0.37699954312499995,0.011516674250869486,0.34698053125,0.0174039395128739
8,101107,Marvin Williams,0.6763444593750001,0.042805446324484804,0.42263876062500005,0.04294054770445208,0.3943698275,0.031335483484924785,0.381188545,0.019295622933141472,0.37777610312500004,0.012076087374745607,0.3455271450000001,0.018137809277210825
9,101108,Chris Paul,0.607559805625,0.03441076830654313,0.4901177,0.022679579020866987,0.46290531125,0.01736438596522703,0.397472828125,0.017664773388826247,0.394479691875,0.011084976462511501,0.35414945875000003,0.015179653863710082
10,101133,Ian Mahinmi,0.687837034375,0.03627725852823561,0.44786226874999996,0.044377102956299694,0.40276871562500005,0.0329313393511182,0.318459644375,0.02650172661967812,0.37055463687499995,0.020602738059175903,0.343220264375,0.020250177039213283
11,101141,Ersan Ilyasova,0.6450531,0.038335464079654755,0.4226216525,0.044977324674862484,0.3988504375,0.03215386563595183,0.3809699818750001,0.017668416262155373,0.3769042775,0.012194702089862373,0.348477089375,0.01811226151516942
12,101150,Lou Williams,0.568539358125,0.03361220110091902,0.38788348812500006,0.02803808349867389,0.38819533812499996,0.023329026608043393,0.40011762125000006,0.01741605074737951,0.39505281062500003,0.011599164911471518,0.353652055,0.01725763202642457
13,200746,LaMarcus Aldridge,0.696949645,0.028181085924920017,0.44068240812500004,0.03481453191210617,0.4484020343749999,0.024614792044204706,0.31806813,0.026619933482859234,0.370154194375,0.02073716714046529,0.345334985,0.018253594846626104
14,200752,Rudy Gay,0.6489089662499999,0.029426116058827927,0.39362621562500005,0.028293195905603894,0.38966148312500004,0.023340587637599556,0.377349560625,0.01707457669998951,0.37459044124999996,0.012369210783647373,0.336329125,0.01570851173092553
15,200755,JJ Redick,0.6132714418749999,0.04246958963302885,0.40108594,0.04371352307112926,0.41270504,0.028625149756261535,0.39861554812499994,0.018196562610220755,0.39602566312500004,0.012085531924408218,0.3616887006249999,0.017662901059523024
16,200765,Rajon Rondo,0.5823008131249999,0.03397876954510644,0.36539232874999994,0.037125354415792094,0.40447578875000006,0.030972653477892773,0.397937651875,0.018508647015163856,0.39467642750000004,0.012227503995644155,0.35456090124999995,0.017741947176296586
17,200768,Kyle Lowry,0.60737208125,0.02705024022605249,0.41807923124999996,0.0330434513479074,0.40286485749999995,0.024907012190238588,0.40086381687499995,0.017069606515407443,0.39568963187500006,0.011363365053874181,0.34743026625,0.013376958151859897
18,200782,P.J. Tucker,0.5836449593749999,0.030829955728766862,0.43527851,0.03314518853142413,0.39660961375,0.031061982836552964,0.37792387437499997,0.015230618007030882,0.378456389375,0.01103459621928968,0.344067635,0.01854759650296434
19,200794,Paul Millsap,0.652851318125,0.033034559082696584,0.40794562874999996,0.036132765055845416,0.3881607468749999,0.028857899213630446,0.38160422625,0.018270536182815243,0.378208579375,0.011956294863112886,0.34570887749999996,0.018081652199985587
20,201142,Kevin Durant,0.721659305,0.024306509717655373,0.507972519375,0.02308713669215229,0.491235048125,0.019067698624625862,0.38407415375,0.01816872517869267,0.37952079125,0.011430827552562564,0.36024807124999997,0.014320983670340995
21,201143,Al Horford,0.692616876875,0.024681778714503444,0.46165887874999995,0.03011378389461458,0.385252536875,0.026163603662767678,0.3199458725,0.024522178171682542,0.37435775562500007,0.01997611902218261,0.34902006874999997,0.01581455902713615
22,201144,Mike Conley,0.57065432125,0.028154512868930948,0.420302485625,0.02305398917209977,0.40846861062499995,0.02697564030373537,0.40697099875,0.018371096365928968,0.39604964125,0.01130166392721879,0.36236778312500006,0.013860677518833277
23,201145,Jeff Green,0.688072306875,0.020648712462196104,0.41406712812499996,0.030813516237143547,0.37557174000000004,0.026726948813508435,0.380216856875,0.016894512372369327,0.37628118125,0.011240492681190555,0.335658339375,0.01695758368906666
24,201152,Thaddeus Young,0.6456554131250002,0.022286788028391458,0.44375963874999996,0.025719697160969807,0.38824296500000005,0.02916081057523993,0.37764651687500006,0.0179559518256403,0.376733011875,0.011836545657538097,0.339406128125,0.017615205901236552
25,201158,Marco Belinelli,0.6134157731250001,0.04436881926125489,0.40765544875000004,0.043816860866421885,0.4080093637500001,0.03130746303264105,0.39884400999999997,0.017880007308056393,0.39498464187500004,0.012559881911611332,0.354898479375,0.018132822049658312
26,201163,Wilson Chandler,0.6660060362500001,0.044852320096163203,0.42706653437500003,0.04209714998355077,0.39919475562499995,0.03142249139920967,0.381083978125,0.018858023929024123,0.377642979375,0.01243591521039765,0.344287224375,0.019374732353707003
27,201188,Marc Gasol,0.6959898368749999,0.035953489753451126,0.4589920525,0.040494480258252405,0.39136830249999993,0.032214374788163185,0.3185994325,0.02616342719669374,0.37032519375000006,0.020536090394290264,0.347137235,0.018381830816013
28,201229,Anthony Tolliver,0.653492671875,0.0416689631666419,0.4198882193749999,0.04708517078233071,0.396961974375,0.03164053940096025,0.38113597812499994,0.017720272935331627,0.37772914874999997,0.011960571203296416,0.344932648125,0.019042091736842067
29,201565,Derrick Rose,0.584477710625,0.029829338456302333,0.440769376875,0.030390814548455103,0.40878470375,0.024845214151038946,0.40024145562499996,0.01755625966220541,0.394390734375,0.012016077128687564,0.357210935625,0.017253211877726733
30,201566,Russell Westbrook,0.586747369375,0.015455453547548747,0.365099160625,0.020746269200203796,0.37849712562500004,0.01782599692727151,0.3919624325,0.0173513813896169,0.392714680625,0.011749769081448988,0.32846020249999996,0.01434960443558441
