cohort,season,stat,n,mae_metadata,mae_adjudicated,delta,ci95_lo,ci95_hi,wilcoxon_p,pct_improvement
A_flip,25-26,PTS,8,4.9528103361004,5.160769434725882,-0.2079590986254818,-0.396174956825388,0.015080075300198188,0.1953125,-4.198810059607866
A_flip,25-26,REB,8,3.164889943709892,3.1673179987702333,-0.002428055060341272,-0.003361429339533517,-0.0016101878747045168,0.0078125,-0.07671846741991602
A_flip,25-26,AST,8,1.2981203173052276,1.2981203173052276,0.0,0.0,0.0,1.0,0.0
A_flip,25-26,BLK,8,0.2880829501098748,0.28822878870579904,-0.00014583859592426363,-0.002951575480107532,0.0022159041191276902,0.84375,-0.05062382062827419
B_all_230,25-26,PTS,46,4.473954092857054,4.533047725613718,-0.05909363275666468,-0.16055640251151002,0.016898325858425878,0.5694942779917188,-1.32083681526843
B_all_230,25-26,REB,46,1.7076233249929176,1.7079296407518112,-0.00030631575889361606,-0.0032904020914938494,0.002879371647496226,0.049421966979675956,-0.017938133920423375
B_all_230,25-26,AST,46,1.0007608281381972,1.0007608281381972,0.0,0.0,0.0,1.0,0.0
B_all_230,25-26,BLK,46,0.20424846135372032,0.20425439959434752,-5.938240627195723e-06,-0.0006535304586276367,0.0005810291365936248,0.9587607499379828,-0.00290736125395422
C_non_flip,25-26,PTS,30,4.116469650783356,4.116469650783356,0.0,0.0,0.0,1.0,0.0
C_non_flip,25-26,REB,30,1.410316025305088,1.410316025305088,0.0,0.0,0.0,1.0,0.0
C_non_flip,25-26,AST,30,0.9822166684400865,0.9822166684400865,0.0,0.0,0.0,1.0,0.0
C_non_flip,25-26,BLK,30,0.21333050906016934,0.21333050906016934,0.0,0.0,0.0,1.0,0.0
