nba_api_id,name,proj_mean,proj_sd,proj_q05,proj_q25,proj_q75,proj_q95,actual,actual_minutes,actual_games,error,abs_error,z_error,stat,test_season,_norm,player_name,source,consensus_proj_per_game,consensus_proj_per36,mpg,model_proj_per_game,actual_per_game
2544,LeBron James,31.777929490568745,2.735591875008937,27.401158537577864,29.92494475207269,33.518393527593155,36.468550624477686,26.15311004784689,2508.0,71,-5.624819442721854,5.624819442721854,-2.056161774023209,PTS,2023-24,lebron james,LeBron James,hashtagbasketball,26.7,28.270588235294117,35.32394366197183,31.181160861637878,25.661971830985916
2544,LeBron James,31.777929490568745,2.735591875008937,27.401158537577864,29.92494475207269,33.518393527593155,36.468550624477686,26.15311004784689,2508.0,71,-5.624819442721854,5.624819442721854,-2.056161774023209,PTS,2023-24,lebron james,LeBron James,fantasypros,27.0625,27.638297872340427,35.32394366197183,31.181160861637878,25.661971830985916
101108,Chris Paul,16.461186077205756,2.236105286885325,12.794847192381926,14.940966371352747,17.922888906170108,20.22122274342,12.516634050880626,1533.0,58,-3.9445520263251295,3.9445520263251295,-1.764027861058145,PTS,2023-24,chris paul,Chris Paul,hashtagbasketball,11.6,15.582089552238804,26.43103448275862,12.085727134270318,9.189655172413792
101108,Chris Paul,16.461186077205756,2.236105286885325,12.794847192381926,14.940966371352747,17.922888906170108,20.22122274342,12.516634050880626,1533.0,58,-3.9445520263251295,3.9445520263251295,-1.764027861058145,PTS,2023-24,chris paul,Chris Paul,fantasypros,12.123076923076923,15.937078651685393,26.43103448275862,12.085727134270318,9.189655172413792
200768,Kyle Lowry,12.92977595903485,2.160012523930997,9.492616997844376,11.446258015049375,14.41609558742412,16.421637648331544,10.367829686575991,1691.0,60,-2.56194627245886,2.56194627245886,-1.1860793602235165,PTS,2023-24,kyle lowry,Kyle Lowry,hashtagbasketball,10.0,13.740458015267176,28.183333333333334,10.122338493855525,8.116666666666667
200768,Kyle Lowry,12.92977595903485,2.160012523930997,9.492616997844376,11.446258015049375,14.41609558742412,16.421637648331544,10.367829686575991,1691.0,60,-2.56194627245886,2.56194627245886,-1.1860793602235165,PTS,2023-24,kyle lowry,Kyle Lowry,fantasypros,9.28125,13.257284562926225,28.183333333333334,10.122338493855525,8.116666666666667
200782,P.J. Tucker,5.982546296490689,2.080003248761798,2.57428743558588,4.553348947841385,7.350148624180688,9.397080286149048,3.8439425051334704,487.0,31,-2.1386037913572187,2.1386037913572187,-1.0281732937822596,PTS,2023-24,pj tucker,P.J. Tucker,fantasypros,4.666666666666667,6.306569343065694,15.709677419354838,2.6106631240062415,1.6774193548387095
201143,Al Horford,11.78057050109125,2.160576713993005,8.224790745210429,10.367112457347169,13.275167359976914,15.350733769219383,11.614236509758898,1742.0,65,-0.1663339913323511,0.1663339913323511,-0.0769859224414883,PTS,2023-24,al horford,Al Horford,hashtagbasketball,9.4,12.172661870503598,26.8,8.769980261923486,8.646153846153846
201143,Al Horford,11.78057050109125,2.160576713993005,8.224790745210429,10.367112457347169,13.275167359976914,15.350733769219383,11.614236509758898,1742.0,65,-0.1663339913323511,0.1663339913323511,-0.0769859224414883,PTS,2023-24,al horford,Al Horford,fantasypros,8.0,10.285714285714286,26.8,8.769980261923486,8.646153846153846
201144,Mike Conley,15.251680004098809,2.254132090304908,11.445241362810954,13.76942910289142,16.77174124537937,19.120838861723225,14.284931506849317,2190.0,76,-0.966748497249494,0.966748497249494,-0.4288783702638853,PTS,2023-24,mike conley,Mike Conley,hashtagbasketball,12.4,15.183673469387758,28.81578947368421,12.208033336614177,11.43421052631579
