nba_api_id,name,context,alpha,test_team,prior_team,role_mode,baseline_fga_per36,blended_fga_per36,baseline_3pa_per36,blended_3pa_per36,baseline_pts_fg_per36,blended_pts_fg_per36,actual_fga,actual_3pa,actual_pts_fg
2544,LeBron James,stayer,0.6,LAL,LAL,team_with_absorption,23.531049753125,25.797074068865786,7.790750453125,8.276661121414406,26.377024261052096,28.449264841992466,18.215311004784688,5.210526315789474,21.803827751196174
101108,Chris Paul,mover,0.5,GSW,PHX,trade,14.150562558562502,13.64838559432105,4.5509570923125,5.799567360567646,14.364747038084861,14.311137143727183,10.966731898238747,4.931506849315069,11.506849315068493
200768,Kyle Lowry,stayer,0.6,MIA,MIA,team_with_absorption,12.738238558749998,12.770104869959678,6.764702911875,7.303035257522881,13.29472316412124,13.340028114913766,8.026020106445891,5.322294500295683,9.026611472501479
200782,P.J. Tucker,mover,0.5,LAC,PHI,trade,6.507163914375,9.099949280549776,3.086869391875,4.68614013379122,7.003390211518352,9.396972261068779,3.6960985626283365,2.5872689938398357,3.62217659137577
201142,Kevin Durant,mover,0.5,PHX,BKN,trade,18.654145941,15.621487514091937,5.7219734097499995,5.086427015719144,20.54656147499494,17.46673422493543,18.529032258064515,5.251612903225807,21.548387096774192
201143,Al Horford,stayer,0.6,BOS,BOS,team_with_absorption,9.804069745,10.493240124427347,3.7086107168749995,5.326287288197507,10.806164565343986,11.452285877736106,8.659012629161882,5.3318025258323765,11.076923076923077
201144,Mike Conley,mover,0.5,MIN,UTA,trade,14.183682870625002,13.757868128942128,6.909531798125001,6.608370105205001,14.485361847367315,14.186370966606907,10.586301369863014,6.657534246575342,12.60821917808219
201145,Jeff Green,mover,0.5,HOU,DEN,trade,12.376682199999998,12.160045582998588,4.24867215625,4.719260676572013,14.009092701965189,13.47636766766077,10.088820826952528,4.4104134762633995,10.667687595712097
201152,Thaddeus Young,stayer,0.6,TOR,TOR,team_with_absorption,12.296646729375002,11.337353778981367,2.217436373125,2.0256291198708247,13.704266156835516,12.525382672883842,8.796380090497737,0.5701357466063348,10.669683257918551
201565,Derrick Rose,mover,0.5,MEM,NYK,trade,17.71669923425,15.541922667844153,4.944620591125,5.074884103283924,18.072475166837055,15.902730756594156,14.887218045112782,3.6992481203007515,15.06766917293233
201566,Russell Westbrook,mover,0.5,LAC,LAL,trade,19.090979185000002,15.391856915862277,4.45080219125,5.36810653347872,18.888580562330933,15.111528112382032,15.64089121887287,3.6330275229357802,15.192660550458717
201567,Kevin Love,mover,0.5,MIA,CLE,trade,15.19460568625,13.762022469293225,9.36784887,8.623176771448598,15.885747849246032,14.46697197980117,13.956803455723541,9.485961123110151,15.550755939524837
201568,Danilo Gallinari,fa,0.3,WAS,,fa,14.619587486875002,13.491425026550306,7.424620877499999,5.529764312030488,15.131424728370572,14.071888919658768,10.80568720379147,5.289099526066351,11.14691943127962
201569,Eric Gordon,mover,0.5,PHX,HOU,trade,14.647517081250001,13.61817308421694,7.5288680675,5.989874344594144,15.78285472395516,14.29403118375997,11.758985200845665,7.553911205073995,13.281183932346723
201572,Brook Lopez,stayer,0.6,MIL,MIL,team_with_absorption,12.415089548125,14.550015754191458,3.771465000625,5.130119506704115,14.622557963966457,16.81069387501595,11.26865671641791,6.029850746268656,13.134328358208956
201580,JaVale McGee,mover,0.5,SAC,DAL,trade,13.75319550651875,13.737108558760358,0.53323263026875,3.567205706097047,16.94734897791373,16.23179960781001,13.976470588235294,0.7411764705882353,16.83529411764706
201587,Nicolas Batum,mover,0.5,PHI,LAC,trade,9.198224172500002,9.844313007673087,6.090910282499999,5.56094016812484,10.181411506068276,10.765260010640997,6.031413612565445,4.358638743455497,7.18586387434555
201599,DeAndre Jordan,stayer,0.6,DEN,DEN,team_with_absorption,8.949413065025,8.398895600670318,0.1601326743375,0.12791633929637755,12.674922730977805,11.877830004122275,8.433249370277078,0.0,10.51889168765743
201935,James Harden,mover,0.5,LAC,PHI,trade,16.745431640312503,14.219083143518528,7.630415089062501,6.957912982384969,17.32192268049878,14.660913952927283,11.985419198055892,7.11543134872418,12.976913730255163
201939,Stephen Curry,stayer,0.6,GSW,GSW,team_with_absorption,22.010118409999997,23.762435748097907,11.7785266525,12.942775966310668,24.632535842160895,26.45678507178291,21.49586776859504,13.031404958677687,24.649586776859504
201942,DeMar DeRozan,stayer,1.0,CHI,CHI,team,17.923371604937497,17.923371604937497,1.8718447424374998,1.8718447424374998,18.548571198732926,18.548571198732926,16.287145242070117,2.7045075125208684,16.52754590984975
201950,Jrue Holiday,mover,0.5,BOS,MIL,trade,17.2773031625,13.940918583768891,6.166016549999999,5.579229937468513,18.645032041572662,15.175551143086395,10.950993377483444,5.117880794701986,12.715231788079471
201959,Taj Gibson,mover,0.5,NYK,WAS,trade,8.7567664788125,12.12902197216047,1.4518565956875,4.043250730138078,10.122960986209193,13.389951759779995,6.5615763546798025,1.7733990147783252,5.674876847290641
201976,Patrick Beverley,mover,0.5,PHI,LAL,trade,9.923007018125,10.206704430485587,5.423757831874999,5.227363942812341,10.347593797288843,10.617542814783882,9.31967213114754,4.450819672131147,9.270491803278688
201988,Patty Mills,mover,0.5,MIA,BKN,trade,13.774742763750002,13.052091008043224,8.614022221250002,8.246263447073598,14.50446086946938,13.867593736644736,11.282296650717704,7.492822966507177,9.990430622009569
202066,Garrett Temple,mover,0.5,TOR,NOP,trade,11.516485624375,12.020801681889226,5.9776324912500005,5.76157919695938,12.156823295141695,12.50675039774353,9.649484536082474,4.948453608247423,8.65979381443299
202083,Wesley Matthews,mover,0.5,ATL,MIL,trade,8.841679250624999,10.023928947004912,5.697137586875,4.831107409958655,9.518627688777798,10.588667247855572,8.434782608695652,6.0,8.0
202330,Gordon Hayward,stayer,0.6,CHA,CHA,team_with_absorption,14.605407683749998,15.192600858021567,4.6705578275,4.671714749390931,15.039704262642509,15.396333661994262,11.634322373696873,2.598235765838011,11.865276663993585
202331,Paul George,stayer,0.6,LAC,LAC,team_with_absorption,19.581091255625,21.12774141109005,8.475945668125,9.163095722193228,20.07083651983782,21.519159327313986,17.805522208883552,8.470588235294118,20.26890756302521
202397,Ish Smith,mover,0.5,CHA,DEN,trade,14.02005649625,13.166261533380304,2.8356333525000004,3.1925132049446217,13.424910291140908,13.025549731783624,7.686486486486487,0.3891891891891892,6.616216216216216
202681,Kyrie Irving,mover,0.5,DAL,BKN,trade,20.367364746874998,15.67502030851093,7.946876115625,6.911011081750928,22.189864350010915,17.360359642291574,20.067028092656482,7.469689502217841,23.012321340561854
202684,Tristan Thompson,fa,0.3,CLE,,fa,10.83409568840625,12.180350657741386,0.28597873553125,3.3843302060252283,11.957268573907362,12.94621317705925,7.811934900542496,0.0650994575045208,9.504520795660035
202685,Jonas Valančiūnas,stayer,1.0,NOP,NOP,team,14.6065497868125,14.6065497868125,1.7568077011874998,1.7568077011874998,16.96716117431394,16.96716117431394,13.425311203319502,2.240663900414938,15.703319502074688
202687,Bismack Biyombo,mover,0.5,MEM,PHX,trade,9.307374807625,11.337260454531654,0.1484042870625,2.6767759512526736,11.059511849931726,12.49244986968175,5.969620253164557,0.0,6.744303797468355
202691,Klay Thompson,stayer,0.6,GSW,GSW,team_with_absorption,20.756962321875,22.48816426522086,11.075760478125002,12.626025214664935,21.762750842667856,23.640282527243578,17.865965834428383,10.911957950065704,19.679369250985545
202692,Alec Burks,stayer,0.6,DET,DET,team_with_absorption,14.594338229375001,15.361778510648666,7.054238872500001,7.561779240077387,14.611758075385538,15.325741620868072,16.91494632535095,9.810074318744839,16.17175887696119
202693,Markieff Morris,mover,0.5,DAL,BKN,trade,13.239889434375002,12.111282652260932,6.43393576125,6.1545409045634285,14.032581199380697,12.926249154218375,11.229357798165138,6.935779816513762,10.073394495412844
202694,Marcus Morris Sr.,mover,0.5,PHI,LAC,trade,14.377851855000003,12.43412684892309,6.5743455025,5.80265777812484,14.517654748850598,12.897461901486185,11.6328029375765,5.243574051407588,12.33782129742962
202695,Kawhi Leonard,stayer,0.6,LAC,LAC,team_with_absorption,18.11719912875,19.62158487915434,5.635718234999999,6.0388779930892955,19.313638846511854,20.75278880808678,17.945945945945944,5.1891891891891895,21.003861003861005
202696,Nikola Vučević,stayer,1.0,CHI,CHI,team,15.8856906665,15.8856906665,4.01079752275,4.01079752275,17.409192076251042,17.409192076251042,16.690658499234303,4.313935681470138,17.42113323124043
202699,Tobias Harris,stayer,0.6,PHI,PHI,team_with_absorption,14.529184043125001,15.208441898997691,4.611322550625,5.247942484006514,15.678886167068264,16.531961376913138,14.439477013918179,3.917334458034585,15.441585828764236
202704,Reggie Jackson,mover,0.5,DEN,LAC,trade,16.343482173124997,14.264583726964457,6.911932379374999,5.948892185612341,16.130642094184797,14.320556946086876,14.962067069818582,5.620670698185817,14.922484881803188
202709,Cory Joseph,mover,0.5,GSW,DET,trade,10.861115038125,12.0036618341023,4.5143431750000005,5.781260401911395,11.143075303108313,12.5081574275994,7.757575757575757,5.090909090909091,7.151515151515152
202710,Jimmy Butler III,stayer,0.6,MIA,MIA,team_with_absorption,15.41874240125,15.94083275289657,2.21773147,2.2241531543444077,16.454734567544495,16.922661058482447,13.980411361410383,2.5563173359451516,15.020568070519099
202711,Bojan Bogdanović,stayer,0.6,DET,DET,team_with_absorption,16.802821390625,18.095537054197614,7.413926321249999,7.60542489450477,17.80350921482897,18.911825919533687,16.564864864864866,8.124324324324323,18.267567567567568
202722,Dāvis Bertāns,mover,0.5,CHA,DAL,trade,13.028170040625,12.670318305567804,9.925224140625,6.737308599007121,14.03658025020065,13.824929376433266,12.48,10.666666666666666,13.866666666666667
203076,Anthony Davis,stayer,0.6,LAL,LAL,team_with_absorption,17.48483152225,19.939293456896696,2.306763991,2.1108579748728227,19.477999725731742,22.29119283619208,17.10033320992225,1.4261384672343578,19.392817475009256
203078,Bradley Beal,mover,0.5,PHX,WAS,trade,19.777577946250002,16.18320351671694,5.772428315000001,5.111654468344144,20.849343659432463,17.068337947920657,14.957603165630301,4.782362916902205,17.399660825325043
203081,Damian Lillard,mover,0.5,MIL,POR,trade,20.59349422625,16.046480064245713,10.39895520125,8.398216438665894,22.157827546291514,17.185961524486494,17.825513765025203,8.68243505234587,18.174486234974797
203083,Andre Drummond,stayer,1.0,CHI,CHI,team,12.593563168918749,12.593563168918749,0.27387036898125006,0.27387036898125006,14.598789664653467,14.598789664653467,12.809488510007414,0.08005930318754632,14.250555967383246
203084,Harrison Barnes,stayer,1.0,SAC,SAC,team,11.745239983750002,11.745239983750002,4.854217281875,4.854217281875,12.728371414720066,12.728371414720066,11.076923076923077,5.825977301387137,12.756620428751576
203095,Evan Fournier,mover,0.5,DET,NYK,trade,15.786231101875,14.22651145716287,8.701691163749999,6.5857049759205495,16.629404753240657,15.024858247997368,13.623287671232877,8.013698630136986,11.773972602739725
203109,Jae Crowder,stayer,0.6,MIL,MIL,team_with_absorption,11.61999981125,11.626763895357445,7.562739964375,7.245883716268434,12.176992884494018,12.036246143998723,8.408304498269896,5.169550173010381,8.906574394463668
